price,top,bottom,type,score
4111.2545,4121.75025,4100.75875,support,0.7353490104151363
4352.65675,4363.1525,4342.161,support,0.4926736499767535
4541.58025,4552.076,4531.0845,support,0.47674688223373896
4761.991,4772.48675,4751.49525,support,0.4720778437589638
4982.40175,4992.8975,4971.906,support,1.1063955924755777
5202.8125,5213.30825,5192.31675,support,1.831114498396127
5433.719,5444.21475,5423.22325,resistance,1.6734532227041115
5780.078750000001,5790.574500000001,5769.5830000000005,resistance,2.3748216036473044
6136.93425,6147.43,6126.4385,resistance,2.7493826471207345
