index,value,weight,type
1342,4587.64,1,high
1342,4587.64,1,high
1354,4537.24,1,low
1354,4537.24,1,low
1354,4537.24,1,low
1361,4599.39,1,high
1361,4599.39,1,high
1361,4599.39,1,high
1367,4546.72,1,low
1367,4546.72,1,low
1374,4551.68,1,low
1376,4578.56,1,high
1382,4590.74,1,high
1382,4590.74,1,high
1388,4546.5,1,low
1388,4546.5,1,low
1388,4546.5,1,low
1398,4574.06,1,low
1426,4643.2300000000005,1,low
1430,4738.57,1,high
1430,4738.57,1,high
1434,4694.34,1,low
1443,4704.6900000000005,1,low
1465,4778.01,1,high
1465,4778.01,1,high
1465,4778.01,1,high
1468,4697.82,1,low
1468,4697.82,1,low
1468,4697.82,1,low
1478,4772.9400000000005,1,high
1478,4772.9400000000005,1,high
1483,4736.77,1,low
1492,4784.72,1,high
1499,4768.900000000001,1,low
1503,4793.3,1,high
1503,4793.3,1,high
1503,4793.3,1,high
1503,4793.3,1,high
1531,4729.29,1,high
1534,4696.150000000001,1,low
1540,4687.53,1,low
1543,4721.49,1,high
1548,4682.11,1,low
1548,4682.11,1,low
1548,4682.11,1,low
1548,4682.11,1,low
1556,4764.54,1,high
1574,4798.5,1,high
1576,4739.58,1,low
1576,4739.58,1,low
1582,4802.400000000001,1,high
1582,4802.400000000001,1,high
1582,4802.400000000001,1,high
1602,4714.82,1,low
1602,4714.82,1,low
1602,4714.82,1,low
1602,4714.82,1,low
1623,4868.41,1,high
1623,4868.41,1,high
1632,4844.37,1,low
1641,4903.68,1,high
1641,4903.68,1,high
1644,4865.9400000000005,1,low
1651,4869.34,1,low
1656,4906.6900000000005,1,high
1656,4906.6900000000005,1,high
1658,4881.47,1,low
1676,4931.09,1,high
1676,4931.09,1,high
1685,4845.150000000001,1,low
1685,4845.150000000001,1,low
1685,4845.150000000001,1,low
1685,4845.150000000001,1,low
1700,4975.29,1,high
1700,4975.29,1,high
1703,4918.09,1,low
1710,4957.77,1,high
1711,4934.88,1,low
1724,4999.89,1,high
1728,4987.09,1,low
1744,5048.39,1,high
1744,5048.39,1,high
1744,5048.39,1,high
1744,5048.39,1,high
1756,4920.31,1,low
1756,4920.31,1,low
1756,4920.31,1,low
1756,4920.31,1,low
