index,value,weight,type
6,6091.55,1,low
25,6109.53,1,high
31,6101.78,1,low
31,6101.78,1,low
37,6115.35,1,high
43,6107.39,1,low
45,6115.42,1,high
51,6109.59,1,low
54,6121.87,1,high
54,6121.87,1,high
54,6121.87,1,high
54,6121.87,1,high
73,6101.25,1,high
85,6071.91,1,low
85,6071.91,1,low
85,6071.91,1,low
90,6086.0,1,high
97,6089.13,1,high
97,6089.13,1,high
107,6078.04,1,low
111,6084.92,1,high
136,6048.8,1,high
140,6030.5,1,low
142,6045.99,1,high
154,6036.58,1,high
164,6008.56,1,low
164,6008.56,1,low
164,6008.56,1,low
167,6020.41,1,high
173,6010.82,1,low
180,6022.43,1,high
180,6022.43,1,high
189,6009.650000000001,1,low
191,6043.650000000001,1,high
191,6043.650000000001,1,high
191,6043.650000000001,1,high
203,5977.83,1,low
203,5977.83,1,low
203,5977.83,1,low
203,5977.83,1,low
206,6006.88,1,high
219,5981.24,1,low
219,5981.24,1,low
235,6021.59,1,high
241,6012.59,1,low
247,6029.41,1,high
256,6031.45,1,high
256,6031.45,1,high
256,6031.45,1,high
256,6031.45,1,high
262,6019.87,1,low
262,6019.87,1,low
267,6030.68,1,high
267,6030.68,1,high
282,6027.75,1,high
288,6012.68,1,low
292,6020.28,1,high
301,6005.1,1,low
307,6013.49,1,high
325,5992.650000000001,1,high
343,5918.150000000001,1,low
343,5918.150000000001,1,low
351,5946.93,1,high
351,5946.93,1,high
354,5922.85,1,low
364,5908.49,1,low
364,5908.49,1,low
364,5908.49,1,low
364,5908.49,1,low
372,5950.49,1,high
372,5950.49,1,high
380,5934.42,1,low
380,5934.42,1,low
395,5974.63,1,high
395,5974.63,1,high
395,5974.63,1,high
403,5949.4800000000005,1,low
403,5949.4800000000005,1,low
407,5971.54,1,high
407,5971.54,1,high
423,5943.81,1,low
423,5943.81,1,low
423,5943.81,1,low
427,5968.5,1,high
436,5961.55,1,low
441,5979.95,1,high
441,5979.95,1,high
451,5949.29,1,low
451,5949.29,1,low
451,5949.29,1,low
470,6005.87,1,high
470,6005.87,1,high
473,5990.84,1,low
488,6009.82,1,high
488,6009.82,1,high
488,6009.82,1,high
488,6009.82,1,high
495,5995.400000000001,1,low
497,6007.81,1,high
504,5990.91,1,low
504,5990.91,1,low
509,6007.25,1,high
509,6007.25,1,high
546,5932.6900000000005,1,low
546,5932.6900000000005,1,low
546,5932.6900000000005,1,low
558,5959.12,1,high
558,5959.12,1,high
565,5938.53,1,low
565,5938.53,1,low
583,5950.62,1,low
587,5993.6900000000005,1,high
587,5993.6900000000005,1,high
587,5993.6900000000005,1,high
587,5993.6900000000005,1,high
595,5918.04,1,low
595,5918.04,1,low
595,5918.04,1,low
595,5918.04,1,low
602,5977.76,1,high
602,5977.76,1,high
607,5950.6,1,low
615,5946.54,1,low
615,5946.54,1,low
621,5975.12,1,high
621,5975.12,1,high
641,5927.81,1,low
641,5927.81,1,low
641,5927.81,1,low
645,5956.99,1,high
645,5956.99,1,high
651,5938.06,1,low
663,5964.89,1,high
663,5964.89,1,high
663,5964.89,1,high
689,5897.03,1,low
718,5842.78,1,low
718,5842.78,1,low
718,5842.78,1,low
718,5842.78,1,low
721,5875.21,1,high
737,5900.12,1,high
741,5884.4800000000005,1,low
749,5903.49,1,high
749,5903.49,1,high
749,5903.49,1,high
749,5903.49,1,high
757,5871.79,1,low
757,5871.79,1,low
757,5871.79,1,low
763,5895.32,1,high
763,5895.32,1,high
768,5878.400000000001,1,low
773,5895.31,1,high
794,5837.66,1,low
794,5837.66,1,low
794,5837.66,1,low
794,5837.66,1,low
800,5876.96,1,high
800,5876.96,1,high
807,5848.63,1,low
807,5848.63,1,low
829,5904.74,1,high
834,5890.25,1,low
850,5986.09,1,high
850,5986.09,1,high
850,5986.09,1,high
850,5986.09,1,high
859,5919.18,1,low
859,5919.18,1,low
874,5962.74,1,high
874,5962.74,1,high
878,5935.12,1,low
878,5935.12,1,low
887,5957.3,1,high
887,5957.3,1,high
893,5923.85,1,low
893,5923.85,1,low
893,5923.85,1,low
906,5953.16,1,high
913,5953.47,1,high
913,5953.47,1,high
913,5953.47,1,high
927,5913.38,1,high
932,5886.86,1,low
932,5886.86,1,low
932,5886.86,1,low
940,5913.34,1,high
940,5913.34,1,high
948,5894.61,1,low
953,5917.6,1,high
953,5917.6,1,high
953,5917.6,1,high
973,5810.91,1,low
978,5851.33,1,high
978,5851.33,1,high
997,5732.59,1,low
997,5732.59,1,low
997,5732.59,1,low
997,5732.59,1,low
1001,5770.650000000001,1,high
1001,5770.650000000001,1,high
1013,5735.41,1,low
1015,5760.78,1,high
1019,5733.24,1,low
1019,5733.24,1,low
1019,5733.24,1,low
1039,5796.35,1,high
1039,5796.35,1,high
1046,5792.3,1,high
1047,5771.45,1,low
1047,5771.45,1,low
1054,5811.45,1,high
1054,5811.45,1,high
1060,5781.87,1,low
1078,5841.13,1,high
1078,5841.13,1,high
1081,5820.57,1,low
1081,5820.57,1,low
1098,5865.08,1,high
1098,5865.08,1,high
1098,5865.08,1,high
1098,5865.08,1,high
1107,5759.35,1,low
1107,5759.35,1,low
1107,5759.35,1,low
1115,5803.55,1,high
1120,5761.63,1,low
1120,5761.63,1,low
1123,5806.6900000000005,1,high
1123,5806.6900000000005,1,high
1128,5766.34,1,low
1134,5794.34,1,high
1156,5742.35,1,low
1156,5742.35,1,low
1156,5742.35,1,low
1156,5742.35,1,low
1161,5786.02,1,high
1176,5791.5,1,low
1183,5822.31,1,high
1183,5822.31,1,high
1184,5790.75,1,low
1184,5790.75,1,low
1191,5791.67,1,low
1206,5854.72,1,high
1206,5854.72,1,high
1213,5832.88,1,low
1213,5832.88,1,low
1224,5860.59,1,high
1224,5860.59,1,high
1224,5860.59,1,high
1224,5860.59,1,high
1228,5835.400000000001,1,low
1247,5746.53,1,low
1247,5746.53,1,low
1247,5746.53,1,low
1262,5782.41,1,low
1268,5811.55,1,high
1271,5787.17,1,low
1276,5812.08,1,high
1276,5812.08,1,high
1276,5812.08,1,high
1283,5810.04,1,high
1295,5737.41,1,low
1300,5755.09,1,high
1302,5731.79,1,low
1309,5721.59,1,low
1309,5721.59,1,low
1312,5745.4400000000005,1,high
1320,5751.68,1,high
1320,5751.68,1,high
1327,5715.33,1,low
1327,5715.33,1,low
1330,5737.64,1,high
1343,5711.64,1,low
1343,5711.64,1,low
1343,5711.64,1,low
1343,5711.64,1,low
1350,5759.4800000000005,1,high
1350,5759.4800000000005,1,high
1350,5759.4800000000005,1,high
1353,5716.54,1,low
1361,5724.08,1,low
1364,5752.12,1,high
1364,5752.12,1,high
1368,5726.74,1,low
1371,5745.58,1,high
1375,5719.68,1,low
1375,5719.68,1,low
1383,5770.4800000000005,1,high
1383,5770.4800000000005,1,high
1383,5770.4800000000005,1,high
1383,5770.4800000000005,1,high
1398,5693.99,1,low
1398,5693.99,1,low
1401,5737.150000000001,1,high
1422,5666.29,1,low
1422,5666.29,1,low
1422,5666.29,1,low
1422,5666.29,1,low
1426,5694.88,1,high
1431,5668.16,1,low
1444,5707.82,1,low
1465,5770.99,1,high
1468,5751.9400000000005,1,low
1472,5782.51,1,high
1472,5782.51,1,high
1472,5782.51,1,high
1485,5757.25,1,low
1485,5757.25,1,low
1488,5776.66,1,high
1499,5739.68,1,low
1503,5783.01,1,high
1503,5783.01,1,high
1503,5783.01,1,high
1503,5783.01,1,high
1507,5672.52,1,low
1534,5638.84,1,low
1534,5638.84,1,low
1534,5638.84,1,low
1539,5661.63,1,high
1542,5648.4800000000005,1,low
1548,5673.95,1,high
1548,5673.95,1,high
1548,5673.95,1,high
1563,5633.17,1,low
1563,5633.17,1,low
1567,5658.88,1,high
1567,5658.88,1,high
1574,5645.43,1,high
1579,5619.52,1,low
1583,5638.01,1,high
1598,5602.78,1,low
1599,5622.5,1,high
1599,5622.5,1,high
1619,5564.02,1,low
1619,5564.02,1,low
1619,5564.02,1,low
1627,5632.68,1,high
1627,5632.68,1,high
1627,5632.68,1,high
1631,5599.96,1,low
1640,5592.650000000001,1,low
1648,5626.88,1,high
1648,5626.88,1,high
1649,5572.63,1,low
1662,5549.08,1,low
1662,5549.08,1,low
1662,5549.08,1,low
1668,5549.42,1,low
1672,5596.02,1,high
1678,5578.2300000000005,1,low
1682,5607.51,1,high
1682,5607.51,1,high
1682,5607.51,1,high
1692,5556.95,1,low
1692,5556.95,1,low
1700,5576.57,1,high
1718,5528.41,1,low
1718,5528.41,1,low
1718,5528.41,1,low
1718,5528.41,1,low
1735,5600.61,1,high
1746,5636.3,1,high
1746,5636.3,1,high
1746,5636.3,1,high
1767,5569.59,1,low
1767,5569.59,1,low
1767,5569.59,1,low
1770,5642.1900000000005,1,high
1770,5642.1900000000005,1,high
1770,5642.1900000000005,1,high
1770,5642.1900000000005,1,high
1780,5589.9800000000005,1,low
1782,5614.0,1,high
1797,5582.7,1,high
1801,5546.09,1,low
1801,5546.09,1,low
1801,5546.09,1,low
1801,5546.09,1,low
1831,5621.37,1,high
1831,5621.37,1,high
1833,5596.49,1,low
1840,5596.0,1,low
1840,5596.0,1,low
1849,5625.95,1,high
1849,5625.95,1,high
1849,5625.95,1,high
1859,5586.68,1,low
1859,5586.68,1,low
1859,5586.68,1,low
1875,5626.91,1,high
1875,5626.91,1,high
1875,5626.91,1,high
1875,5626.91,1,high
1897,5607.87,1,high
1910,5551.7,1,low
1910,5551.7,1,low
1910,5551.7,1,low
1918,5597.78,1,high
1918,5597.78,1,high
1927,5581.11,1,high
1944,5556.79,1,high
1950,5530.06,1,low
1953,5546.52,1,high
1963,5552.21,1,high
1963,5552.21,1,high
1966,5521.79,1,low
1971,5539.55,1,high
1986,5504.650000000001,1,low
1986,5504.650000000001,1,low
1986,5504.650000000001,1,low
1986,5504.650000000001,1,low
1994,5538.66,1,high
2010,5553.1,1,high
2010,5553.1,1,high
2010,5553.1,1,high
2012,5530.33,1,low
2027,5509.26,1,low
2027,5509.26,1,low
2027,5509.26,1,low
2040,5603.93,1,high
2040,5603.93,1,high
2040,5603.93,1,high
2042,5565.7,1,low
2049,5566.85,1,low
2077,5630.92,1,high
2077,5630.92,1,high
2077,5630.92,1,high
2079,5619.76,1,low
2092,5607.72,1,low
2092,5607.72,1,low
2092,5607.72,1,low
2103,5634.06,1,high
2103,5634.06,1,high
2103,5634.06,1,high
2103,5634.06,1,high
2118,5612.28,1,low
2118,5612.28,1,low
2124,5623.62,1,high
2130,5609.68,1,low
2130,5609.68,1,low
2130,5609.68,1,low
2138,5631.1900000000005,1,high
2141,5620.03,1,low
2146,5634.0,1,high
2146,5634.0,1,high
2156,5621.29,1,low
2156,5621.29,1,low
2171,5669.3,1,high
2171,5669.3,1,high
2171,5669.3,1,high
2171,5669.3,1,high
