index,value,weight,type
9,5713.97,1,high
12,5697.35,1,low
12,5697.35,1,low
19,5722.32,1,high
19,5722.32,1,high
34,5666.33,1,low
55,5605.37,1,low
64,5599.64,1,low
64,5599.64,1,low
64,5599.64,1,low
66,5613.46,1,high
76,5619.32,1,high
76,5619.32,1,high
76,5619.32,1,high
91,5588.49,1,low
91,5588.49,1,low
100,5597.08,1,high
100,5597.08,1,high
109,5586.22,1,high
112,5573.94,1,low
112,5573.94,1,low
112,5573.94,1,low
127,5591.26,1,high
127,5591.26,1,high
127,5591.26,1,high
138,5575.39,1,low
138,5575.39,1,low
145,5588.74,1,high
145,5588.74,1,high
154,5572.42,1,low
161,5586.55,1,high
161,5586.55,1,high
169,5488.73,1,low
169,5488.73,1,low
169,5488.73,1,low
169,5488.73,1,low
177,5536.52,1,high
183,5515.18,1,low
183,5515.18,1,low
199,5534.27,1,low
212,5562.42,1,high
212,5562.42,1,high
217,5540.75,1,low
217,5540.75,1,low
224,5566.19,1,high
224,5566.19,1,high
234,5552.46,1,low
238,5572.6,1,high
238,5572.6,1,high
241,5550.43,1,low
247,5562.82,1,high
250,5549.11,1,low
250,5549.11,1,low
250,5549.11,1,low
268,5600.3,1,high
269,5584.73,1,low
284,5593.09,1,low
288,5627.56,1,high
288,5627.56,1,high
288,5627.56,1,high
300,5582.83,1,low
302,5607.33,1,high
313,5558.52,1,low
313,5558.52,1,low
313,5558.52,1,low
313,5558.52,1,low
332,5640.62,1,high
332,5640.62,1,high
339,5624.63,1,low
352,5650.57,1,high
352,5650.57,1,high
352,5650.57,1,high
352,5650.57,1,high
360,5615.75,1,low
360,5615.75,1,low
363,5634.77,1,high
377,5613.03,1,low
380,5624.41,1,high
394,5585.6,1,low
397,5593.38,1,high
403,5583.23,1,low
403,5583.23,1,low
403,5583.23,1,low
424,5636.73,1,high
424,5636.73,1,high
424,5636.73,1,high
427,5571.48,1,low
427,5571.48,1,low
427,5571.48,1,low
427,5571.48,1,low
438,5627.4,1,high
440,5604.34,1,low
447,5636.99,1,high
456,5643.96,1,high
462,5630.89,1,low
466,5659.15,1,high
466,5659.15,1,high
474,5633.38,1,low
474,5633.38,1,low
501,5695.31,1,high
501,5695.31,1,high
501,5695.31,1,high
501,5695.31,1,high
527,5632.13,1,low
527,5632.13,1,low
527,5632.13,1,low
531,5658.65,1,high
531,5658.65,1,high
537,5633.28,1,low
543,5638.68,1,low
555,5677.95,1,high
555,5677.95,1,high
555,5677.95,1,high
576,5436.66,1,low
578,5458.46,1,high
590,5415.66,1,low
590,5415.66,1,low
590,5415.66,1,low
590,5415.66,1,low
618,5483.04,1,high
618,5483.04,1,high
618,5483.04,1,high
618,5483.04,1,high
630,5463.7,1,high
638,5440.45,1,low
643,5457.73,1,high
643,5457.73,1,high
658,5420.6,1,low
658,5420.6,1,low
664,5443.19,1,high
664,5443.19,1,high
