Peak #,Array Index,Score,Price
0,12.0,2444.8734767803467,5444.554166666667
1,33.5,34.17591135289047,5526.863333333333
2,43.0,43.706985402819605,5563.2325
3,51.5,81.49739046662864,5595.7733333333335
4,61.5,584.2295734405218,5634.056666666667
5,70.0,425.59130338761094,5666.5975
