index,value,weight,type
9,5711.15,1,high
24,5643.83,1,low
29,5671.93,1,high
33,5603.1,1,low
33,5603.1,1,low
33,5603.1,1,low
41,5611.42,1,low
48,5661.61,1,high
53,5637.6,1,low
53,5637.6,1,low
68,5766.56,1,high
68,5766.56,1,high
78,5743.68,1,low
78,5743.68,1,low
90,5786.95,1,high
90,5786.95,1,high
90,5786.95,1,high
90,5786.95,1,high
106,5760.42,1,low
112,5783.62,1,high
112,5783.62,1,high
112,5783.62,1,high
137,5717.93,1,high
139,5670.94,1,low
139,5670.94,1,low
139,5670.94,1,low
145,5732.28,1,high
145,5732.28,1,high
145,5732.28,1,high
153,5687.0,1,low
153,5687.0,1,low
162,5722.32,1,high
162,5722.32,1,high
181,5573.94,1,low
194,5488.73,1,low
194,5488.73,1,low
194,5488.73,1,low
194,5488.73,1,low
210,5549.11,1,low
217,5627.56,1,high
223,5558.52,1,low
223,5558.52,1,low
231,5650.57,1,high
231,5650.57,1,high
231,5650.57,1,high
241,5583.23,1,low
245,5636.73,1,high
247,5571.48,1,low
247,5571.48,1,low
247,5571.48,1,low
261,5695.31,1,high
261,5695.31,1,high
261,5695.31,1,high
267,5632.13,1,low
272,5677.95,1,high
280,5415.66,1,low
280,5415.66,1,low
286,5483.04,1,high
286,5483.04,1,high
