price,top,bottom,type,score
5417.51645,5419.3729,5415.66,resistance,1.2428531528870352
5449.0761,5450.9325499999995,5447.21965,resistance,0.820653533537848
5484.34865,5486.2051,5482.4922,resistance,0.9230460973305623
5593.879199999999,5595.73565,5592.02275,resistance,2.4798783657651096
5632.8646499999995,5634.7211,5631.0082,resistance,3.8947213857241363
5669.99365,5671.8501,5668.1372,resistance,1.130461029194505
5694.1275,5695.98395,5692.271049999999,resistance,1.0925844208351339
5725.68715,5727.5436,5723.8306999999995,resistance,1.2307686396132365
5760.959699999999,5762.81615,5759.10325,resistance,1.301407694322151
5785.09355,5786.95,5783.237099999999,resistance,1.4002529953148743
