Peak #,Array Index,Score,Price
0,0.0,4397.013076253962,5417.51645
1,8.0,2906.356300828389,5447.21965
2,18.0,2805.615347630783,5484.34865
3,47.0,6396.465628586849,5592.02275
4,58.0,10723.233201287323,5632.8646499999995
5,67.5,2341.944850113389,5668.137199999999
6,74.5,2967.378256095903,5694.1275
7,83.0,2211.914959926882,5725.68715
8,92.0,1627.1031715264921,5759.10325
