Peak #,Array Index,Score,Price
0,0.0,1.0835617490787206,5407.8651408450705
1,9.0,1.46471025161377,5502.277676056337
2,19.5,1.445656037753862,5612.425633802817
3,33.0,2.0137183696551,5754.044436619719
4,57.0,2.841282286638353,6005.811197183099
5,67.0,3.2875090835612153,6110.714014084508
