index,value,weight,type
1198,5850.9400000000005,1,high
1205,5821.14,1,low
1225,5718.18,1,low
1230,5736.7,1,high
1242,5702.86,1,low
1242,5702.86,1,low
1242,5702.86,1,low
1247,5772.52,1,high
1247,5772.52,1,high
1247,5772.52,1,high
1262,5729.24,1,low
1265,5746.43,1,high
1270,5708.49,1,low
1273,5741.43,1,high
1280,5696.51,1,low
1280,5696.51,1,low
1280,5696.51,1,low
1280,5696.51,1,low
1287,5728.7300000000005,1,high
1295,5708.92,1,low
1295,5708.92,1,low
1310,5780.83,1,high
1310,5780.83,1,high
1313,5763.61,1,low
1328,5907.11,1,high
1364,5972.88,1,high
1371,5957.62,1,low
1371,5957.62,1,low
1398,6012.45,1,high
1403,5992.400000000001,1,low
1403,5992.400000000001,1,low
1405,6017.31,1,high
1405,6017.31,1,high
1405,6017.31,1,high
1405,6017.31,1,high
1411,6016.31,1,high
1420,5986.6900000000005,1,low
1420,5986.6900000000005,1,low
1432,6009.92,1,high
1432,6009.92,1,high
1446,5960.08,1,low
1446,5960.08,1,low
1446,5960.08,1,low
1446,5960.08,1,low
1452,5999.59,1,high
1452,5999.59,1,high
1461,5965.91,1,low
1461,5965.91,1,low
1473,6008.1900000000005,1,high
1473,6008.1900000000005,1,high
1473,6008.1900000000005,1,high
1489,5967.09,1,low
1499,5952.39,1,low
1507,5972.45,1,high
1507,5972.45,1,high
1530,5853.01,1,low
1530,5853.01,1,low
1530,5853.01,1,low
1530,5853.01,1,low
1548,5908.12,1,high
1548,5908.12,1,high
1548,5908.12,1,high
1557,5883.89,1,low
1563,5897.72,1,high
1568,5855.29,1,low
1568,5855.29,1,low
1568,5855.29,1,low
1584,5923.51,1,high
1584,5923.51,1,high
1584,5923.51,1,high
1587,5904.96,1,low
1592,5918.85,1,high
1597,5860.56,1,low
1597,5860.56,1,low
1597,5860.56,1,low
1603,5900.63,1,high
1611,5875.17,1,low
1621,5947.1,1,high
1621,5947.1,1,high
1625,5887.26,1,low
1637,5960.37,1,high
1640,5947.4800000000005,1,low
1648,5944.36,1,low
1648,5944.36,1,low
1650,5972.72,1,high
1650,5972.72,1,high
1662,5972.89,1,high
1662,5972.89,1,high
1671,5954.53,1,low
1671,5954.53,1,low
1675,6020.75,1,high
1675,6020.75,1,high
1675,6020.75,1,high
1675,6020.75,1,high
1688,5963.91,1,low
1688,5963.91,1,low
1692,5987.52,1,high
1703,6008.02,1,high
1721,6003.86,1,low
1727,6025.42,1,high
1727,6025.42,1,high
1727,6025.42,1,high
1739,5984.87,1,low
1739,5984.87,1,low
1739,5984.87,1,low
1746,6002.66,1,high
1753,5991.47,1,low
1753,5991.47,1,low
1770,6032.38,1,low
1771,6047.38,1,high
1777,6035.33,1,low
1782,6050.71,1,high
1782,6050.71,1,high
1790,6041.2300000000005,1,low
1794,6053.58,1,high
1794,6053.58,1,high
1794,6053.58,1,high
1803,6033.39,1,low
1803,6033.39,1,low
1803,6033.39,1,low
1816,6042.24,1,low
1819,6052.07,1,high
1832,6075.7300000000005,1,high
1838,6075.900000000001,1,high
1841,6063.0,1,low
1841,6063.0,1,low
1854,6092.5,1,high
1854,6092.5,1,high
1856,6078.21,1,low
1865,6094.55,1,high
1865,6094.55,1,high
1865,6094.55,1,high
1865,6094.55,1,high
1867,6078.62,1,low
1879,6088.51,1,high
1879,6088.51,1,high
1885,6053.97,1,low
1885,6053.97,1,low
1893,6058.93,1,low
1896,6072.58,1,high
1896,6072.58,1,high
1904,6048.63,1,low
1904,6048.63,1,low
1911,6065.400000000001,1,high
1911,6065.400000000001,1,high
1918,6058.79,1,high
1930,6029.89,1,low
1930,6029.89,1,low
1930,6029.89,1,low
1930,6029.89,1,low
1947,6092.59,1,high
1947,6092.59,1,high
1947,6092.59,1,high
1947,6092.59,1,high
1951,6084.51,1,low
1962,6059.35,1,low
1962,6059.35,1,low
1966,6079.68,1,high
1970,6066.33,1,low
1975,6077.71,1,high
1988,6078.58,1,high
1988,6078.58,1,high
1988,6078.58,1,high
1993,6038.02,1,low
2001,6035.77,1,low
2001,6035.77,1,low
2001,6035.77,1,low
2001,6035.77,1,low
2010,6046.05,1,low
2018,6077.95,1,high
2023,6070.24,1,low
2036,6085.1900000000005,1,high
2036,6085.1900000000005,1,high
2036,6085.1900000000005,1,high
2036,6085.1900000000005,1,high
2044,6036.9400000000005,1,low
2044,6036.9400000000005,1,low
2050,6057.68,1,high
2064,6035.1900000000005,1,low
2064,6035.1900000000005,1,low
2064,6035.1900000000005,1,low
2073,6070.67,1,high
2073,6070.67,1,high
2073,6070.67,1,high
2079,6069.54,1,high
2093,5867.79,1,low
2093,5867.79,1,low
2093,5867.79,1,low
2103,5919.79,1,high
2109,5879.32,1,low
2113,5918.31,1,high
2122,5832.3,1,low
2122,5832.3,1,low
2122,5832.3,1,low
2122,5832.3,1,low
2133,5982.06,1,high
2133,5982.06,1,high
2133,5982.06,1,high
2142,5964.7300000000005,1,high
2151,5902.57,1,low
2151,5902.57,1,low
2151,5902.57,1,low
2172,5947.81,1,low
2172,5947.81,1,low
2190,6040.1,1,high
2192,6007.37,1,low
2192,6007.37,1,low
2202,6049.75,1,high
2202,6049.75,1,high
2202,6049.75,1,high
2202,6049.75,1,high
2204,6030.11,1,low
2210,6032.82,1,low
2213,6045.9400000000005,1,high
2213,6045.9400000000005,1,high
2226,5970.87,1,high
2230,5932.95,1,low
2230,5932.95,1,low
2239,5979.22,1,high
2239,5979.22,1,high
2248,5869.16,1,low
2248,5869.16,1,low
2248,5869.16,1,low
2260,5940.79,1,high
2260,5940.79,1,high
2271,5905.66,1,low
2275,5929.74,1,high
2284,5872.63,1,low
2292,5868.86,1,low
2292,5868.86,1,low
2301,5935.09,1,high
2301,5935.09,1,high
2301,5935.09,1,high
2308,5911.3,1,high
2316,5829.53,1,low
2316,5829.53,1,low
2316,5829.53,1,low
2316,5829.53,1,low
2326,5918.03,1,high
2346,5949.34,1,high
2351,5934.29,1,low
2361,6021.04,1,high
2361,6021.04,1,high
2361,6021.04,1,high
2361,6021.04,1,high
2380,6000.68,1,high
2380,6000.68,1,high
2385,5925.51,1,low
2393,5919.46,1,low
2395,5947.25,1,high
2410,5882.64,1,low
2415,5922.03,1,high
2415,5922.03,1,high
2419,5874.78,1,low
2419,5874.78,1,low
2426,5927.89,1,high
2426,5927.89,1,high
2426,5927.89,1,high
2436,5813.62,1,low
2444,5807.78,1,low
2444,5807.78,1,low
2451,5866.54,1,high
2451,5866.54,1,high
2461,5773.31,1,low
2461,5773.31,1,low
2461,5773.31,1,low
2461,5773.31,1,low
2466,5811.99,1,high
2471,5778.1,1,low
2488,5871.92,1,high
2488,5871.92,1,high
2488,5871.92,1,high
2500,5805.42,1,low
2500,5805.42,1,low
2500,5805.42,1,low
2507,5858.49,1,high
2510,5810.7300000000005,1,low
2518,5950.75,1,high
2518,5950.75,1,high
2524,5916.28,1,low
2542,5963.7300000000005,1,high
2544,5934.4400000000005,1,low
2544,5934.4400000000005,1,low
2548,5964.6900000000005,1,high
2548,5964.6900000000005,1,high
2548,5964.6900000000005,1,high
2559,5930.72,1,low
2559,5930.72,1,low
2559,5930.72,1,low
2567,5936.11,1,low
2584,6014.96,1,high
2584,6014.96,1,high
2594,5995.14,1,low
2594,5995.14,1,low
2597,6036.57,1,high
2611,6050.1900000000005,1,high
2617,6038.3,1,low
2633,6100.81,1,high
2633,6100.81,1,high
2633,6100.81,1,high
2650,6074.67,1,low
2650,6074.67,1,low
2650,6074.67,1,low
2665,6104.25,1,high
2669,6093.97,1,low
2678,6128.18,1,high
2678,6128.18,1,high
2678,6128.18,1,high
2678,6128.18,1,high
2681,6111.150000000001,1,low
2686,6123.900000000001,1,high
2695,6089.66,1,low
2702,6102.46,1,high
2704,5962.92,1,low
2704,5962.92,1,low
2704,5962.92,1,low
2704,5962.92,1,low
2716,6001.97,1,high
2719,5979.53,1,low
2719,5979.53,1,low
2723,6011.28,1,high
2754,6074.54,1,high
2754,6074.54,1,high
2754,6074.54,1,high
2766,6040.14,1,low
2769,6054.71,1,high
2777,6012.96,1,low
2777,6012.96,1,low
2777,6012.96,1,low
2786,6080.59,1,high
2786,6080.59,1,high
2786,6080.59,1,high
2791,6027.46,1,low
2794,6064.28,1,high
2810,6039.31,1,low
2810,6039.31,1,low
2818,6120.91,1,high
2818,6120.91,1,high
2818,6120.91,1,high
2818,6120.91,1,high
2842,5923.93,1,low
2842,5923.93,1,low
2842,5923.93,1,low
2842,5923.93,1,low
2846,6011.43,1,high
2852,5981.17,1,low
2860,6022.13,1,high
2866,5990.87,1,low
2866,5990.87,1,low
2874,6040.41,1,high
