Peak #,Array Index,Score,Price
0,12.0,3.9366751504844792,5444.554166666667
1,35.0,0.25377676206801597,5532.605833333333
2,44.0,0.7035408454036005,5567.060833333333
3,52.5,0.729275082360522,5599.601666666667
4,62.0,3.4531855897651687,5635.970833333334
5,70.0,1.7461726117543668,5666.5975
