Peak #,Array Index,Score,Price
0,6.0,3.0318011893353582,4132.279255319148
1,14.0,2.6690122776141982,4530.333723404256
2,27.5,2.2120538372518315,5202.050638297873
3,38.0,3.4095976330149083,5724.497127659575
4,46.0,3.8426034970240566,6122.551595744681
